"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Programming bots by synthesizing natural language expressions into API invocations","S. Zamanirad; B. Benatallah; M. C. Barukh; F. Casati; C. Rodriguez","School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052; School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052; School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052; University of Trento, Italy / Tomsk Polytechnic University, Russia; School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","832","837","At present, bots are still in their preliminary stages of development. Many are relatively simple, or developed ad-hoc for a very specific use-case. For this reason, they are typically programmed manually, or utilize machine-learning classifiers to interpret a fixed set of user utterances. In reality, real world conversations with humans require support for dynamically capturing users expressions. Moreover, bots will derive immeasurable value by programming them to invoke APIs for their results. Today, within the Web and Mobile development community, complex applications are being stringed together with a few lines of code - all made possible by APIs. Yet, developers today are not as empowered to program bots in much the same way. To overcome this, we introduce BotBase, a bot programming platform that dynamically synthesizes natural language user expressions into API invocations. Our solution is two faceted: Firstly, we construct an API knowledge graph to encode and evolve APIs; secondly, leveraging the above we apply techniques in NLP, ML and Entity Recognition to perform the required synthesis from natural language user expressions into API calls.","","","10.1109/ASE.2017.8115694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115694","","Natural languages;Programming;Computational modeling;Concrete;Meteorology;Business;Machine learning","application program interfaces;learning (artificial intelligence);natural language processing;object-oriented programming","API;natural language user expression synthesis;BotBase;API knowledge graph;bot programming platform;users expressions;world conversations;user utterances;fixed set;machine-learning classifiers;specific use-case;API invocations;API calls","","1","27","","","","","IEEE","IEEE Conferences"
"Learn&Fuzz: Machine learning for input fuzzing","P. Godefroid; H. Peleg; R. Singh","Microsoft Research, USA; Technion, Israel; Microsoft Research, USA","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","50","59","Fuzzing consists of repeatedly testing an application with modified, or fuzzed, inputs with the goal of finding security vulnerabilities in input-parsing code. In this paper, we show how to automate the generation of an input grammar suitable for input fuzzing using sample inputs and neural-network-based statistical machine-learning techniques. We present a detailed case study with a complex input format, namely PDF, and a large complex security-critical parser for this format, namely, the PDF parser embedded in Microsoft's new Edge browser. We discuss and measure the tension between conflicting learning and fuzzing goals: learning wants to capture the structure of well-formed inputs, while fuzzing wants to break that structure in order to cover unexpected code paths and find bugs. We also present a new algorithm for this learn&fuzz challenge which uses a learnt input probability distribution to intelligently guide where to fuzz inputs.","","","10.1109/ASE.2017.8115618","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115618","Fuzzing;Deep Learning;Grammar-based Fuzzing;Grammar Learning","Portable document format;Grammar;Training;Probability distribution;Recurrent neural networks","fuzzy set theory;grammars;learning (artificial intelligence);neural nets;probability;program debugging;program testing;security of data","machine learning;input fuzzing;security vulnerabilities;input-parsing code;complex input format;complex security-critical parser;conflicting learning;learnt input probability distribution;neural-network-based statistical machine-learning techniques;PDF parser;Microsoft's new Edge browser","","25","31","","","","","IEEE","IEEE Conferences"
"Are developers aware of the architectural impact of their changes?","M. Paixao; J. Krinke; D. Han; C. Ragkhitwetsagul; M. Harman","University College London, United Kingdom; University College London, United Kingdom; University College London, United Kingdom; University College London, United Kingdom; University College London, United Kingdom","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","95","105","Although considered one of the most important decisions in a software development lifecycle, empirical evidence on how developers perform and perceive architectural changes is still scarce. Given the large implications of architectural decisions, we do not know whether developers are aware of their changes' impact on the software's architecture, whether awareness leads to better changes, and whether automatically making developers aware would prevent degradation. Therefore, we use code review data of 4 open source systems to investigate the intent and awareness of developers when performing changes. We extracted 8,900 reviews for which the commits are available. 2,152 of the commits have changes in their computed architectural metrics, and 338 present significant changes to the architecture. We manually inspected all reviews for commits with significant changes and found that only in 38% of the time developers are discussing the impact of their changes on the architectural structure, suggesting a lack of awareness. Finally, we observed that developers tend to be more aware of the architectural impact of their changes when the architectural structure is improved, suggesting that developers should be automatically made aware when their changes degrade the architectural structure.","","","10.1109/ASE.2017.8115622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115622","Software Architecture;Code Reviews","Couplings;Computer architecture;Measurement;Java;History;Degradation;Software systems","software architecture;software engineering;software maintenance;software metrics;software quality","architectural changes;architectural decisions;computed architectural metrics;time developers;architectural structure;architectural impact;software development lifecycle","","8","44","","","","","IEEE","IEEE Conferences"
"Predicting Delays in Software Projects Using Networked Classification (T)","M. Choetkiertikul; H. K. Dam; T. Tran; A. Ghose","Sch. of Comput. & Inf. Technol., Univ. of Wollongong, Wollongong, NSW, Australia; Sch. of Comput. & Inf. Technol., Univ. of Wollongong, Wollongong, NSW, Australia; Sch. of Inf. Technol., Deakin Univ., Melbourne, VIC, Australia; Sch. of Comput. & Inf. Technol., Univ. of Wollongong, Wollongong, NSW, Australia","2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2015","","","353","364","Software projects have a high risk of cost and schedule overruns, which has been a source of concern for the software engineering community for a long time. One of the challenges in software project management is to make reliable prediction of delays in the context of constant and rapid changes inherent in software projects. This paper presents a novel approach to providing automated support for project managers and other decision makers in predicting whether a subset of software tasks (among the hundreds to thousands of ongoing tasks) in a software project have a risk of being delayed. Our approach makes use of not only features specific to individual software tasks (i.e. local data) -- as done in previous work -- but also their relationships (i.e. networked data). In addition, using collective classification, our approach can simultaneously predict the degree of delay for a group of related tasks. Our evaluation results show a significant improvement over traditional approaches which perform classification on each task independently: achieving 46% -- 97% precision (49% improved), 46% -- 97% recall (28% improved), 56% -- 75% F-measure (39% improved), and 78% -- 95% Area Under the ROC Curve (16% improved).","","","10.1109/ASE.2015.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372024","Networked classification;Software analytics;Risk management;Machine Learning","Software;Delays;Predictive models;Risk management;Software engineering;Data mining;Information technology","pattern classification;project management;software engineering;software management","Networked Classification;software engineering community;software project management;ROC Curve;F-measure","","5","57","","","","","IEEE","IEEE Conferences"
"O2O service composition with social collaboration","W. Qian; X. Peng; J. Sun; Y. Yu; B. Nuseibeh; W. Zhao","School of Computer Science, Fudan University, Shanghai, China; School of Computer Science, Fudan University, Shanghai, China; Singapore University of Technology and Design, Singapore; School of Computing and Communications, The Open University, UK; School of Computing and Communications, The Open University, UK; School of Computer Science, Fudan University, Shanghai, China","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","451","461","In Online-to-Offline (O2O) commerce, customer services may need to be composed from online and offline services. Such composition is challenging, as it requires effective selection of appropriate services that, in turn, support optimal combination of both online and offline services. In this paper, we address this challenge by proposing an approach to O2O service composition which combines offline route planning and social collaboration to optimize service selection. We frame general O2O service composition problems using timed automata and propose an optimization procedure that incorporates: (1) a Markov Chain Monte Carlo (MCMC) algorithm to stochastically select a concrete composite service, and (2) a model checking approach to searching for an optimal collaboration plan with the lowest cost given certain time constraint. Our procedure has been evaluated using the simulation of a rich scenario on effectiveness and scalability.","","","10.1109/ASE.2017.8115657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115657","","Collaboration;Concrete;Libraries;Printing;Optimization;Quality of service;Planning","automata theory;customer services;electronic commerce;formal verification;Markov processes;Monte Carlo methods","O2O service composition;social collaboration;customer services;offline route planning;service selection;concrete composite service;optimal collaboration plan;Markov chain Monte Carlo algorithm;model checking;timed automata;online-to-offline coomerce;optimal combination","","2","31","","","","","IEEE","IEEE Conferences"
"Transfer learning for performance modeling of configurable systems: An exploratory analysis","P. Jamshidi; N. Siegmund; M. Velez; C. Kästner; A. Patel; Y. Agarwal","Carnegie Mellon University, USA; Bauhaus-University Weimar, Germany; Carnegie Mellon University, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA; Carnegie Mellon University, USA","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","497","508","Modern software systems provide many configuration options which significantly influence their non-functional properties. To understand and predict the effect of configuration options, several sampling and learning strategies have been proposed, albeit often with significant cost to cover the highly dimensional configuration space. Recently, transfer learning has been applied to reduce the effort of constructing performance models by transferring knowledge about performance behavior across environments. While this line of research is promising to learn more accurate models at a lower cost, it is unclear why and when transfer learning works for performance modeling. To shed light on when it is beneficial to apply transfer learning, we conducted an empirical study on four popular software systems, varying software configurations and environmental conditions, such as hardware, workload, and software versions, to identify the key knowledge pieces that can be exploited for transfer learning. Our results show that in small environmental changes (e.g., homogeneous workload change), by applying a linear transformation to the performance model, we can understand the performance behavior of the target environment, while for severe environmental changes (e.g., drastic workload change) we can transfer only knowledge that makes sampling more efficient, e.g., by reducing the dimensionality of the configuration space.","","","10.1109/ASE.2017.8115661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115661","Performance analysis;transfer learning","Hardware;Software systems;Analytical models;Predictive models;Mobile communication;Reliability","learning (artificial intelligence);program diagnostics;software engineering;software performance evaluation","transfer learning;performance modeling;configurable systems;highly dimensional configuration space;performance model;performance behavior;software configurations;software systems","","10","64","","","","","IEEE","IEEE Conferences"
"Learning effective query transformations for enhanced requirements trace retrieval","T. Dietrich; J. Cleland-Huang; Y. Shin","Center of Excellence for Software Traceability (CoEST), School of Computing, DePaul University, Chicago, IL, USA; Center of Excellence for Software Traceability (CoEST), School of Computing, DePaul University, Chicago, IL, USA; Center of Excellence for Software Traceability (CoEST), School of Computing, DePaul University, Chicago, IL, USA","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2013","","","586","591","In automated requirements traceability, significant improvements can be realized through incorporating user feedback into the trace retrieval process. However, existing feedback techniques are designed to improve results for individual queries. In this paper we present a novel technique designed to extend the benefits of user feedback across multiple trace queries. Our approach, named Trace Query Transformation (TQT), utilizes a novel form of Association Rule Mining to learn a set of query transformation rules which are used to improve the efficacy of future trace queries. We evaluate TQT using two different kinds of training sets. The first represents an initial set of queries directly modified by human analysts, while the second represents a set of queries generated by applying a query optimization process based on initial relevance feedback for trace links between a set of source and target documents. Both techniques are evaluated using requirements from theWorldVista Healthcare system, traced against certification requirements for the Commission for Healthcare Information Technology. Results show that the TQT technique returns significant improvements in the quality of generated trace links.","","","10.1109/ASE.2013.6693117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693117","requirements traceability;query replacement;contractual requirements;text mining;machine learning;association rules","Training;Association rules;Itemsets;Medical services;Standards;Manuals;Educational institutions","data mining;formal verification;health care;learning (artificial intelligence);medical computing;program diagnostics;query processing;relevance feedback;text analysis","effective query transformation learning;requirement trace retrieval enhancement process;automated requirements traceability;user feedback;trace query transformation;association rule mining;training sets;query optimization process;relevance feedback;source documents;target documents;WorldVista Healthcare system;certification requirements;Commission for Healthcare Information Technology;TQT technique;machine learning;text mining;software engineering activities","","10","23","","","","","IEEE","IEEE Conferences"
"PYTHIA: Generating test cases with oracles for JavaScript applications","S. Mirshokraie; A. Mesbah; K. Pattabiraman","University of British Columbia, Vancouver, Canada; University of British Columbia, Vancouver, Canada; University of British Columbia, Vancouver, Canada","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2013","","","610","615","Web developers often write test cases manually using testing frameworks such as Selenium. Testing JavaScript-based applications is challenging as manually exploring various execution paths of the application is difficult. Also JavaScript's highly dynamic nature as well as its complex interaction with the DOM make it difficult for the tester to achieve high coverage. We present a framework to automatically generate unit test cases for individual JavaScript functions. These test cases are strengthened by automatically generated test oracles capable of detecting faults in JavaScript code. Our approach is implemented in a tool called Pythia. Our preliminary evaluation results point to the efficacy of the approach in achieving high coverage and detecting faults.","","","10.1109/ASE.2013.6693121","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693121","test generation;oracles;JavaScript;DOM","Testing;Instruments;Runtime;Browsers;Measurement;Java;Reactive power","automatic test software;Java;program testing;software fault tolerance;software tools;Web services","software tool;document object model;PYTHIA;JavaScript code;faults detection;automatic test oracles generation;JavaScript functions;DOM;complex interaction;manually execution path exploration;software testing;Web developer;JavaScript applications;automatic unit test case generation","","7","20","","","","","IEEE","IEEE Conferences"
"Automatic Detection of Potential Layout Faults Following Changes to Responsive Web Pages (N)","T. A. Walsh; P. McMinn; G. M. Kapfhammer","Dept. of Comput. Sci., Univ. of Sheffield, Sheffield, UK; Dept. of Comput. Sci., Univ. of Sheffield, Sheffield, UK; Dept. of Comput. Sci., Allegheny Coll., USA","2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2015","","","709","714","Due to the exponential increase in the number ofmobile devices being used to access the World Wide Web, it iscrucial that Web sites are functional and user-friendly across awide range of Web-enabled devices. This necessity has resulted in the introduction of responsive Web design (RWD), which usescomplex cascading style sheets (CSS) to fluidly modify a Web site's appearance depending on the viewport width of the device in use. Although existing tools may support the testing of responsive Web sites, they are time consuming and error-prone to use because theyrequire manual screenshot inspection at specified viewport widths. Addressing these concerns, this paper presents a method thatcan automatically detect potential layout faults in responsively designed Web sites. To experimentally evaluate this approach, weimplemented it as a tool, called ReDeCheck, and applied itto 5 real-world web sites that vary in both their approach toresponsive design and their complexity. The experiments revealthat ReDeCheck finds 91% of the inserted layout faults.","","","10.1109/ASE.2015.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372059","software testing;responsive web;empirical studies","Layout;Cascading style sheets;Web pages;HTML;Mobile handsets","fault diagnosis;human computer interaction;program testing;Web design","automatic layout fault detection;Web pages;mobile devices;World Wide Web;functional user-friendly Web sites;Web-enabled devices;responsive Web design;RWD;complex cascading style sheets;CSS;Web site appearance;responsive Web site testing;manual screenshot inspection;viewport widths;REDECHECK tool;inserted layout faults","","13","22","","","","","IEEE","IEEE Conferences"
"Mining User Opinions in Mobile App Reviews: A Keyword-Based Approach (T)","P. M. Vu; T. T. Nguyen; H. V. Pham; T. T. Nguyen","NA; Comput. Sci. Dept., Utah State Univ., Logan, UT, USA; Comput. Sci. Dept., Utah State Univ., Logan, UT, USA; Comput. Sci. Dept., Utah State Univ., Logan, UT, USA","2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2015","","","749","759","User reviews of mobile apps often contain complaints or suggestions which are valuable for app developers to improve user experience and satisfaction. However, due to the large volume and noisy-nature of those reviews, manually analyzing them for useful opinions is inherently challenging. To address this problem, we propose MARK, a keyword-based framework for semi-automated review analysis. MARK allows an analyst describing his interests in one or some mobile apps by a set of keywords. It then finds and lists the reviews most relevant to those keywords for further analysis. It can also draw the trends over time of those keywords and detect their sudden changes, which might indicate the occurrences of serious issues. To help analysts describe their interests more effectively, MARK can automatically extract keywords from raw reviews and rank them by their associations with negative reviews. In addition, based on a vector-based semantic representation of keywords, MARK can divide a large set of keywords into more cohesive subsets, or suggest keywords similar to the selected ones.","","","10.1109/ASE.2015.85","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372063","Opinion Mining;Review Analysis;Keyword","Batteries;Mobile communication;Dictionaries;Energy consumption;Data mining;Facebook","data mining;mobile computing","mining user opinion;mobile app review;keyword-based approach;app developer;user experience;user satisfaction;keyword-based framework;semiautomated review analysis;vector-based semantic representation;MARK","","27","32","","","","","IEEE","IEEE Conferences"
"Entropy-based test generation for improved fault localization","J. Campos; R. Abreu; G. Fraser; M. d'Amorim","Faculty of Engineering of University of Porto, Portugal; Faculty of Engineering of University of Porto, Portugal; University of Sheffield, United Kingdom; Federal University of Pernambuco, Brazil","2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2013","","","257","267","Spectrum-based Bayesian reasoning can effectively rank candidate fault locations based on passing/failing test cases, but the diagnostic quality highly depends on the size and diversity of the underlying test suite. As test suites in practice often do not exhibit the necessary properties, we present a technique to extend existing test suites with new test cases that optimize the diagnostic quality. We apply probability theory concepts to guide test case generation using entropy, such that the amount of uncertainty in the diagnostic ranking is minimized. Our ENTBUG prototype extends the search-based test generation tool EVOSUITE to use entropy in the fitness function of its underlying genetic algorithm, and we applied it to seven real faults. Empirical results show that our approach reduces the entropy of the diagnostic ranking by 49% on average (compared to using the original test suite), leading to a 91% average reduction of diagnosis candidates needed to inspect to find the true faulty one.","","","10.1109/ASE.2013.6693085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6693085","Fault localization;Test case generation","Entropy;Cognition;Uncertainty;Debugging;Genetic algorithms;Sociology;Statistics","belief networks;entropy;inference mechanisms;probability;program diagnostics;program testing;software fault tolerance","fitness function;EVOSUITE;search-based test generation tool;ENTBUG prototype;diagnostic ranking;entropy;test case generation;probability theory concepts;diagnostic quality;test suite;diagnostic quality;passing-failing test cases;spectrum-based Bayesian reasoning;improved fault localization;entropy-based test generation","","23","40","","","","","IEEE","IEEE Conferences"
"Systematic reduction of GUI test sequences","L. Cheng; Z. Yang; C. Wang","Western Michigan University, Kalamazoo, MI, USA; Western Michigan University, Kalamazoo, MI, USA; University of Southern California, Los Angeles, CA, USA","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","849","860","Graphic user interface (GUI) is an integral part of many software applications. However, GUI testing remains a challenging task. The main problem is to generate a set of high-quality test cases, i.e., sequences of user events to cover the often large input space. Since manually crafting event sequences is labor-intensive and automated testing tools often have poor performance, we propose a new GUI testing framework to efficiently generate progressively longer event sequences while avoiding redundant sequences. Our technique for identifying the redundancy among these sequences relies on statically checking a set of simple and syntactic-level conditions, whose reduction power matches and sometimes exceeds that of classic techniques based on partial order reduction. We have evaluated our method on 17 Java Swing applications. Our experimental results show the new technique, while being sound and systematic, can achieve more than 10X reduction in the number of test sequences compared to the state-of-the-art GUI testing tools.","","","10.1109/ASE.2017.8115696","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115696","","Graphical user interfaces;Testing;Tools;Systematics;Java;Redundancy","graphical user interfaces;Java;program testing","redundant sequences;partial order reduction;systematic reduction;GUI test sequences;graphic user interface;software applications;high-quality test cases;automated testing tools;Java Swing applications;syntactic-level condition","","","60","","","","","IEEE","IEEE Conferences"
"Detecting fragile comments","I. K. Ratol; M. P. Robillard","School of Computer Science, McGill University, Montreal, QC, Canada; School of Computer Science, McGill University, Montreal, QC, Canada","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","112","122","Refactoring is a common software development practice and many simple refactorings can be performed automatically by tools. Identifier renaming is a widely performed refactoring activity. With tool support, rename refactorings can rely on the program structure to ensure correctness of the code transformation. Unfortunately, the textual references to the renamed identifier present in the unstructured comment text cannot be formally detected through the syntax of the language, and are thus fragile with respect to identifier renaming. We designed a new rule-based approach to detect fragile comments. Our approach, called Fraco, takes into account the type of identifier, its morphology, the scope of the identifier and the location of comments. We evaluated the approach by comparing its precision and recall against hand-annotated benchmarks created for six target Java systems, and compared the results against the performance of Eclipse's automated in-comment identifier replacement feature. Fraco performed with near-optimal precision and recall on most components of our evaluation data set, and generally outperformed the baseline Eclipse feature. As part of our evaluation, we also noted that more than half of the total number of identifiers in our data set had fragile comments after renaming, which further motivates the need for research on automatic comment refactoring.","","","10.1109/ASE.2017.8115624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115624","Software evolution;refactoring;source code comments;inconsistent code;fragile comments","Tools;Java;Benchmark testing;Syntactics;Morphology;Semantics","Java;object-oriented programming;software maintenance;text analysis","in-comment identifier replacement feature;fragile comments;automatic comment refactoring;rename refactorings;program structure;renamed identifier present;unstructured comment text;Fraco;software development practice","","5","30","","","","","IEEE","IEEE Conferences"
"Model-Driven Allocation Engineering (T)","U. Pohlmann; M. Hüwe","Project Group Mechatron. Syst. Design, Fraunhofer IPT, Paderborn, Germany; Project Group Mechatron. Syst. Design, Fraunhofer IPT, Paderborn, Germany","2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2015","","","374","384","Cyber-physical systems (CPSs) provide sophisticated functionality and are controlled by networked electronic control units (ECUs). Nowadays, software engineers use component-based development approaches to develop their software. Moreover, software components have to be allocated to an ECU to be executed. Engineers have to cope with topology-, software-, and timing-dependencies and memory-, scheduling-, and routing-constraints. Currently, engineers use linear programs to specify allocation constraints and to derive a feasible allocation automatically. However, encoding the allocation problem as a linear program is a complex and error-prone task. This paper contributes a model-driven, OCL-based allocation engineering approach for reducing the engineering effort and to avoid failures. We validate our approach with an automotive case study modeled with MechatronicUML. Our validation shows that we can specify allocation constraints with less engineering effort and are able to derive feasible allocations automatically.","","","10.1109/ASE.2015.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372026","Cyber-physical systems;Allocation;Deployment;Automotive;Constraints;MechatronicUML","Resource management;Software;Hardware;Actuators;Computer architecture;Brakes;Automotive engineering","constraint handling;cyber-physical systems;linear programming;object-oriented programming;resource allocation;Unified Modeling Language","model-driven allocation engineering;cyber-physical systems;CPS;networked electronic control units;ECU;software engineers;component-based development approach;software component allocation;topology-dependencies;software-dependencies;timing-dependencies;memory-constraints;routing-constraints;scheduling-constraints;linear programs;constraint allocation problem;model-driven OCL-based allocation engineering approach;MechatronicUML","","4","27","","","","","IEEE","IEEE Conferences"
"Executing Model-Based Tests on Platform-Specific Implementations (T)","D. You; S. Rayadurgam; M. P. E. Heimdahl; J. Komp; B. Kim; O. Sokolsky","Dept. of Comput. Sci. & Eng., Univ. of Minnesota, Minneapolis, MN, USA; Dept. of Comput. Sci. & Eng., Univ. of Minnesota, Minneapolis, MN, USA; Dept. of Comput. Sci. & Eng., Univ. of Minnesota, Minneapolis, MN, USA; Medtronic PLC, USA; Dept. of Comput. & Inf. Sci., Univ. of Pennsylvania, Philadelphia, PA, USA; Dept. of Comput. & Inf. Sci., Univ. of Pennsylvania, Philadelphia, PA, USA","2015 30th IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2015","","","418","428","Model-based testing of embedded real-time systems is challenging because platform-specific details are often abstracted away to make the models amenable to various analyses. Testing an implementation to expose non-conformance to such a model requires reconciling differences arising from these abstractions. Due to stateful behavior, naive comparisons of model and system behaviors often fail causing numerous false positives. Previously proposed approaches address this by being reactively permissive: passing criteria are relaxed to reduce false positives, but may increase false negatives, which is particularly bothersome for safety-critical systems. To address this concern, we propose an automated approach that is proactively adaptive: test stimuli and system responses are suitably modified taking into account platform-specific aspects so that the modified test when executed on the platform-specific implementation exercises the intended scenario captured in the original model-based test. We show that the new framework eliminates false negatives while keeping the number of false positives low for a variety of platform-specific configurations.","","","10.1109/ASE.2015.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7372030","Model-based testing;platform-specific implementation","Testing;Real-time systems;Computational modeling;Timing;Software;Monitoring;Hardware","embedded systems;program testing;safety-critical software","model-based testing;platform-specific configuration;embedded real-time system;safety-critical system","","","25","","","","","IEEE","IEEE Conferences"
"Diagnosing assumption problems in safety-critical products","M. Rahimi; W. Xiong; J. Cleland-Huang; R. Lutz","School of Computing, Depaul University, Chicago IL, USA; Computer Science, Iowa State University, Ames, IA, USA; Computer Science and Eng., University of Notre Dame, South Bend IN, USA; Computer Science, Iowa State University, Ames, IA, USA","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","473","484","Problems with the correctness and completeness of environmental assumptions contribute to many accidents in safety-critical systems. The problem is exacerbated when products are modified in new releases or in new products of a product line. In such cases existing sets of environmental assumptions are often carried forward without sufficiently rigorous analysis. This paper describes a new technique that exploits the traceability required by many certifying bodies to reason about the likelihood that environmental assumptions are omitted or incorrectly retained in new products. An analysis of over 150 examples of environmental assumptions in historical systems informs the approach. In an evaluation on three safety-related product lines the approach caught all but one of the assumption-related problems. It also provided clearly defined steps for mitigating the identified issues. The contribution of the work is to arm the safety analyst with useful information for assessing the validity of environmental assumptions for a new product.","","","10.1109/ASE.2017.8115659","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115659","Environmental assumptions;Safety-critical systems;Product lines;Software traceability","Software;Accidents;Computer science;Hazards;Software product lines;Inspection","production engineering computing;safety-critical software","environmental assumptions;safety-related product lines;assumption-related problems;safety-critical products;safety-critical systems","","1","62","","","","","IEEE","IEEE Conferences"
"A comprehensive study on real world concurrency bugs in Node.js","J. Wang; W. Dou; Y. Gao; C. Gao; F. Qin; K. Yin; J. Wei","State Key Lab of Computer Science, Institute of Software, Chinese Academy of Sciences, China; State Key Lab of Computer Science, Institute of Software, Chinese Academy of Sciences, China; State Key Lab of Computer Science, Institute of Software, Chinese Academy of Sciences, China; State Key Lab of Computer Science, Institute of Software, Chinese Academy of Sciences, China; Dept. of Computer Science and Engineering, The Ohio State University, United States; State Key Lab of Computer Science, Institute of Software, Chinese Academy of Sciences, China; State Key Lab of Computer Science, Institute of Software, Chinese Academy of Sciences, China","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","520","531","Node.js becomes increasingly popular in building server-side JavaScript applications. It adopts an event-driven model, which supports asynchronous I/O and non-deterministic event processing. This asynchrony and non-determinism can introduce intricate concurrency bugs, and leads to unpredictable behaviors. An in-depth understanding of real world concurrency bugs in Node.js applications will significantly promote effective techniques in bug detection, testing and fixing for Node.js. In this paper, we present NodeCB, a comprehensive study on real world concurrency bugs in Node.js applications. Specifically, we have carefully studied 57 real bug cases from open-source Node.js applications, and have analyzed their bug characteristics, e.g., bug patterns and root causes, bug impacts, bug manifestation, and fix strategies. Through this study, we obtain several interesting findings, which may open up many new research directions in combating concurrency bugs in Node.js. For example, one finding is that two thirds of the bugs are caused by atomicity violation. However, due to lack of locks and transaction mechanism, Node.js cannot easily express and guarantee the atomic intention.","","","10.1109/ASE.2017.8115663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115663","JavaScript;Node.js;event-driven;concurrency bug;empirical study","Computer bugs;Concurrent computing;Instruction sets;Open source software;Databases;Testing","concurrency control;Java;program debugging;program diagnostics;program testing","concurrency bugs;NodeCB;bug manifestation;bug impacts;bug patterns;open-source Node.js applications;bug detection;building server-side JavaScript applications","","5","65","","","","","IEEE","IEEE Conferences"
